Date,Time,Vehicle,Location,Result,Detail
18/03/2026,22:39:29,Vehicle 1,Narangba,No earlier slots,
18/03/2026,22:39:29,Vehicle 1,Yatala,No earlier slots,
18/03/2026,22:39:38,Vehicle 2,Brisbane,No earlier slots,
18/03/2026,22:39:38,Vehicle 2,Burleigh Heads,No earlier slots,
18/03/2026,22:39:38,Vehicle 2,Narangba,No earlier slots,
18/03/2026,22:39:38,Vehicle 2,Yatala,No earlier slots,
18/03/2026,22:40:37,Vehicle 1,Brisbane,No earlier slots,
18/03/2026,22:40:37,Vehicle 1,Burleigh Heads,No earlier slots,
18/03/2026,22:40:37,Vehicle 1,Narangba,No earlier slots,
18/03/2026,22:40:37,Vehicle 1,Yatala,No earlier slots,
18/03/2026,22:40:48,Vehicle 2,Brisbane,No earlier slots,
18/03/2026,22:40:48,Vehicle 2,Burleigh Heads,No earlier slots,
18/03/2026,22:40:48,Vehicle 2,Narangba,No earlier slots,
18/03/2026,22:40:48,Vehicle 2,Yatala,No earlier slots,
